CVE,CVSS3,EPSS,EPSS Percentile,Description,Date
CVE-2024-38217,5.4,0.14086,0.94075,"Microsoft Windows Mark of the Web (MOTW) contains a protection mechanism failure vulnerability that allows an attacker to bypass MOTW-based defenses. This can result in a limited loss of integrity and availability of security features such as Protected View in Microsoft Office, which rely on MOTW tagging.",2024-09-10
CVE-2024-38014,7.8,0.10523,0.9295,Microsoft Windows Installer contains an improper privilege management vulnerability that could allow an attacker to gain SYSTEM privileges.,2024-09-10
CVE-2024-38226,,0.03751,0.87591,Microsoft Publisher contains a protection mechanism failure vulnerability that allows attacker to bypass Office macro policies used to block untrusted or malicious files.,2024-09-10
CVE-2024-40766,9.8,0.11662,0.93395,"SonicWall SonicOS contains an improper access control vulnerability that could lead to unauthorized resource access and, under certain conditions, may cause the firewall to crash.",2024-09-09
CVE-2024-7262,7.8,0.20665,0.95358,Kingsoft WPS Office contains a path traversal vulnerability in promecefpluginhost.exe on Windows that allows an attacker to load an arbitrary Windows library.,2024-09-03
CVE-2021-20124,7.5,0.93733,0.99844,Draytek VigorConnect contains a path traversal vulnerability in the file download functionality of the WebServlet endpoint. An unauthenticated attacker could leverage this vulnerability to download arbitrary files from the underlying operating system with root privileges.,2024-09-03
CVE-2021-20123,7.5,0.93181,0.99787,Draytek VigorConnect contains a path traversal vulnerability in the DownloadFileServlet endpoint. An unauthenticated attacker could leverage this vulnerability to download arbitrary files from the underlying operating system with root privileges. ,2024-09-03
CVE-2024-7965,8.8,0.10893,0.93106,"Google Chromium V8 contains an inappropriate implementation vulnerability that allows a remote attacker to potentially exploit heap corruption via a crafted HTML page. This vulnerability could affect multiple web browsers that utilize Chromium, including, but not limited to, Google Chrome, Microsoft Edge, and Opera.",2024-08-28
CVE-2024-38856,9.8,0.94366,0.99958,Apache OFBiz contains an incorrect authorization vulnerability that could allow remote code execution via a Groovy payload in the context of the OFBiz user process by an unauthenticated attacker.,2024-08-27
CVE-2024-7971,9.6,0.00351,0.56801,"Google Chromium V8 contains a type confusion vulnerability that allows a remote attacker to exploit heap corruption via a crafted HTML page. This vulnerability could affect multiple web browsers that utilize Chromium, including, but not limited to, Google Chrome, Microsoft Edge, and Opera.",2024-08-26
CVE-2024-39717,7.2,0.08377,0.91923,"The Versa Director GUI contains an unrestricted upload of file with dangerous type vulnerability that allows administrators with Provider-Data-Center-Admin or Provider-Data-Center-System-Admin privileges to customize the user interface. The “Change Favicon” (Favorite Icon) enables the upload of a .png file, which can be exploited to upload a malicious file with a .png extension disguised as an image.",2024-08-23
CVE-2021-31196,,0.03916,0.87856,Microsoft Exchange Server contains an information disclosure vulnerability that allows for remote code execution.,2024-08-21
CVE-2022-0185,8.4,0.00864,0.74153,Linux kernel contains a heap-based buffer overflow vulnerability in the legacy_parse_param function in the Filesystem Context functionality. This allows an attacker to open a filesystem that does not support the Filesystem Context API and ultimately escalate privileges.,2024-08-21
CVE-2021-33045,9.8,0.94124,0.999,Dahua IP cameras and related products contain an authentication bypass vulnerability when the loopback device is specified by the client during authentication.,2024-08-21
CVE-2021-33044,9.8,0.94269,0.99927,Dahua IP cameras and related products contain an authentication bypass vulnerability when the NetKeyboard type argument is specified by the client during authentication.,2024-08-21
CVE-2024-23897,9.8,0.94442,0.99988,"Jenkins Command Line Interface (CLI) contains a path traversal vulnerability that allows attackers limited read access to certain files, which can lead to code execution.",2024-08-19
CVE-2024-28986,,0.34306,0.96837,SolarWinds Web Help Desk contains a deserialization of untrusted data vulnerability that could allow for remote code execution.,2024-08-15
CVE-2024-38107,7.8,0.03662,0.87444,"Microsoft Windows Power Dependency Coordinator contains an unspecified vulnerability that allows for privilege escalation, enabling a local attacker to obtain SYSTEM privileges.",2024-08-13
CVE-2024-38106,7.0,0.00367,0.57851,"Microsoft Windows Kernel contains an unspecified vulnerability that allows for privilege escalation, enabling a local attacker to gain SYSTEM privileges. Successful exploitation of this vulnerability requires an attacker to win a race condition.",2024-08-13
CVE-2024-38193,7.8,0.70132,0.98609,"Microsoft Windows Ancillary Function Driver for WinSock contains an unspecified vulnerability that allows for privilege escalation, enabling a local attacker to gain SYSTEM privileges.",2024-08-13
CVE-2024-38213,6.5,0.73855,0.98765,Microsoft Windows SmartScreen contains a security feature bypass vulnerability that allows an attacker to bypass the SmartScreen user experience via a malicious file.,2024-08-13
CVE-2024-38178,7.5,0.18494,0.94972,Microsoft Windows Scripting Engine contains a memory corruption vulnerability that allows unauthenticated attacker to initiate remote code execution via a specially crafted URL.,2024-08-13
CVE-2024-38189,,0.38016,0.97095,Microsoft Project contains an unspecified vulnerability that allows for remote code execution via a malicious file.,2024-08-13
CVE-2024-32113,9.8,0.9349,0.99816,Apache OFBiz contains a path traversal vulnerability that could allow for remote code execution.,2024-08-07
CVE-2024-36971,7.8,0.00053,0.16382,"Android contains an unspecified vulnerability in the kernel that allows for remote code execution. This vulnerability resides in Linux Kernel and could impact other products, including but not limited to Android OS.",2024-08-07
CVE-2018-0824,8.8,0.8545,0.99319,Microsoft COM for Windows contains a deserialization of untrusted data vulnerability that allows for privilege escalation and remote code execution via a specially crafted file or script.,2024-08-05
CVE-2024-37085,7.2,0.64816,0.98389,VMware ESXi contains an authentication bypass vulnerability. A malicious actor with sufficient Active Directory (AD) permissions can gain full access to an ESXi host that was previously configured to use AD for user management by re-creating the configured AD group ('ESXi Admins' by default) after it was deleted from AD.,2024-07-30
CVE-2023-45249,9.8,0.59652,0.98163,Acronis Cyber Infrastructure (ACI) allows an unauthenticated user to execute commands remotely due to the use of default passwords.,2024-07-29
CVE-2024-5217,9.8,0.94196,0.99912,"ServiceNow Washington DC, Vancouver, and earlier Now Platform releases contain an incomplete list of disallowed inputs vulnerability in the GlideExpression script. An unauthenticated user could exploit this vulnerability to execute code remotely.",2024-07-29
CVE-2024-4879,9.8,0.94339,0.99945,"ServiceNow Utah, Vancouver, and Washington DC Now Platform releases contain a jelly template injection vulnerability in UI macros. An unauthenticated user could exploit this vulnerability to execute code remotely. ",2024-07-29
CVE-2024-39891,5.3,0.26824,0.96154,Twilio Authy contains an information disclosure vulnerability in its API that allows an unauthenticated endpoint to accept a request containing a phone number and respond with information about whether the phone number was registered with Authy.,2024-07-23
CVE-2022-22948,6.5,0.29549,0.96439,"VMware vCenter Server contains an incorrect default file permissions vulnerability that allows a remote, privileged attacker to gain access to sensitive information.",2024-07-17
CVE-2024-28995,7.5,0.94376,0.99962,SolarWinds Serv-U contains a path traversal vulnerability that allows an attacker access to read sensitive files on the host machine.,2024-07-17
CVE-2024-34102,,0.94335,0.99944,Adobe Commerce and Magento Open Source contain an improper restriction of XML external entity reference (XXE) vulnerability that allows for remote code execution.,2024-07-17
CVE-2024-36401,9.8,0.94425,0.99979,OSGeo GeoServer GeoTools contains an improper neutralization of directives in dynamically evaluated code vulnerability due to unsafely evaluating property names as XPath expressions. This allows unauthenticated attackers to conduct remote code execution via specially crafted input.,2024-07-15
CVE-2024-23692,9.8,0.94297,0.99933,"Rejetto HTTP File Server contains an improper neutralization of special elements used in a template engine vulnerability. This allows a remote, unauthenticated attacker to execute commands on the affected system by sending a specially crafted HTTP request.",2024-07-09
CVE-2024-38080,7.8,0.13331,0.9389,Microsoft Windows Hyper-V contains a privilege escalation vulnerability that allows a local attacker with user permissions to gain SYSTEM privileges.,2024-07-09
CVE-2024-38112,7.5,0.91557,0.99659,"Microsoft Windows MSHTML Platform contains a spoofing vulnerability that has a high impact to confidentiality, integrity, and availability.",2024-07-09
CVE-2024-20399,6.7,0.00366,0.57829,"Cisco NX-OS contains a command injection vulnerability in the command line interface (CLI) that could allow an authenticated, local attacker to execute commands as root on the underlying operating system of an affected device.",2024-07-02
CVE-2020-13965,6.1,0.85203,0.99308,Roundcube Webmail contains a cross-site scripting (XSS) vulnerability that allows a remote attacker to manipulate data via a malicious XML attachment.,2024-06-26
CVE-2022-2586,7.8,0.0153,0.8054,"Linux Kernel contains a use-after-free vulnerability in the nft_object, allowing local attackers to escalate privileges. ",2024-06-26
CVE-2022-24816,10.0,0.94163,0.99906,"OSGeo GeoServer JAI-EXT contains a code injection vulnerability that, when programs use jt-jiffle and allow Jiffle script to be provided via network request, could allow remote code execution.",2024-06-26
CVE-2024-4358,9.8,0.94344,0.99947,Progress Telerik Report Server contains an authorization bypass by spoofing vulnerability that allows an attacker to obtain unauthorized access.,2024-06-13
CVE-2024-26169,7.8,0.26205,0.96084,Microsoft Windows Error Reporting Service contains an improper privilege management vulnerability that allows a local attacker with user permissions to gain SYSTEM privileges.,2024-06-13
CVE-2024-32896,7.8,0.00124,0.32313,Android Pixel contains an unspecified vulnerability in the firmware that allows for privilege escalation.,2024-06-13
CVE-2024-4577,9.8,0.94403,0.99972,"PHP, specifically Windows-based PHP used in CGI mode, contains an OS command injection vulnerability that allows for arbitrary code execution. This vulnerability is a patch bypass for CVE-2012-1823.",2024-06-12
CVE-2024-4610,7.8,0.00443,0.62374,"Arm Bifrost and Valhall GPU kernel drivers contain a use-after-free vulnerability that allows a local, non-privileged user to make improper GPU memory processing operations to gain access to already freed memory.",2024-06-12
CVE-2024-1086,7.8,0.87143,0.99404,Linux kernel contains a use-after-free vulnerability in the netfilter: nf_tables component that allows an attacker to achieve local privilege escalation.,2024-05-30
CVE-2024-24919,8.6,0.94389,0.99967,"Check Point Quantum Security Gateways contain an unspecified information disclosure vulnerability. The vulnerability potentially allows an attacker to access information on Gateways connected to the internet, with IPSec VPN, Remote Access VPN or Mobile Access enabled. This issue affects several product lines from Check Point, including CloudGuard Network, Quantum Scalable Chassis, Quantum Security Gateways, and Quantum Spark Appliances.",2024-05-30
CVE-2024-4978,8.4,0.23957,0.95802,"Justice AV Solutions (JAVS) Viewer installer contains a malicious version of ffmpeg.exe, named fffmpeg.exe (SHA256: 421a4ad2615941b177b6ec4ab5e239c14e62af2ab07c6df1741e2a62223223c4). When run, this creates a backdoor connection to a malicious C2 server.",2024-05-29
CVE-2024-5274,9.6,0.03229,0.86578,"Google Chromium V8 contains a type confusion vulnerability that allows a remote attacker to execute code via a crafted HTML page. This vulnerability could affect multiple web browsers that utilize Chromium, including, but not limited to, Google Chrome, Microsoft Edge, and Opera.",2024-05-28
CVE-2020-17519,7.5,0.94383,0.99964,Apache Flink contains an improper access control vulnerability that allows an attacker to read any file on the local filesystem of the JobManager through its REST interface.,2024-05-23
CVE-2024-4947,9.6,0.00155,0.36871,Google Chromium V8 contains a type confusion vulnerability that allows a remote attacker to execute code via a crafted HTML page.,2024-05-20
CVE-2023-43208,9.8,0.94413,0.99975,NextGen Healthcare Mirth Connect contains a deserialization of untrusted data vulnerability that allows for unauthenticated remote code execution via a specially crafted request.,2024-05-20
CVE-2024-4761,8.8,0.01633,0.81134,"Google Chromium V8 Engine contains an unspecified out-of-bounds memory write vulnerability via a crafted HTML page. This vulnerability could affect multiple web browsers that utilize Chromium, including, but not limited to, Google Chrome, Microsoft Edge, and Opera. ",2024-05-16
CVE-2021-40655,7.5,0.93319,0.99801,D-Link DIR-605 routers contain an information disclosure vulnerability that allows attackers to obtain a username and password by forging a post request to the /getcfg.php page. ,2024-05-16
CVE-2024-30040,8.8,0.32046,0.96662,Microsoft Windows MSHTML Platform contains an unspecified vulnerability that allows for a security feature bypass.,2024-05-14
CVE-2024-30051,7.8,0.50935,0.97767,Microsoft DWM Core Library contains a privilege escalation vulnerability that allows an attacker to gain SYSTEM privileges.,2024-05-14
CVE-2024-4671,9.6,0.00096,0.27489,"Google Chromium Visuals contains a use-after-free vulnerability that allows a remote attacker to exploit heap corruption via a crafted HTML page. This vulnerability could affect multiple web browsers that utilize Chromium, including, but not limited to, Google Chrome, Microsoft Edge, and Opera.",2024-05-13
CVE-2023-7028,9.8,0.93872,0.99861,GitLab Community and Enterprise Editions contain an improper access control vulnerability. This allows an attacker to trigger password reset emails to be sent to an unverified email address to ultimately facilitate an account takeover.,2024-05-01
CVE-2024-29988,8.8,0.64766,0.98386,Microsoft SmartScreen Prompt contains a security feature bypass vulnerability that allows an attacker to bypass the Mark of the Web (MotW) feature. This vulnerability can be chained with CVE-2023-38831 and CVE-2024-21412 to execute a malicious file.,2024-04-30
CVE-2024-4040,10.0,0.94426,0.99979,CrushFTP contains an unspecified sandbox escape vulnerability that allows a remote attacker to escape the CrushFTP virtual file system (VFS).,2024-04-24
CVE-2024-20359,6.0,0.00192,0.41416,Cisco Adaptive Security Appliance (ASA) and Firepower Threat Defense (FTD) contain a privilege escalation vulnerability that can allow local privilege escalation from Administrator to root.,2024-04-24
CVE-2024-20353,8.6,0.1766,0.94823,Cisco Adaptive Security Appliance (ASA) and Firepower Threat Defense (FTD) contain an infinite loop vulnerability that can lead to remote denial of service condition.,2024-04-24
CVE-2022-38028,7.8,0.03526,0.87208,Microsoft Windows Print Spooler service contains a privilege escalation vulnerability. An attacker may modify a JavaScript constraints file and execute it with SYSTEM-level permissions.,2024-04-23
CVE-2024-3400,10.0,0.94349,0.99952,Palo Alto Networks PAN-OS GlobalProtect feature contains a command injection vulnerability that allows an unauthenticated attacker to execute commands with root privileges on the firewall.,2024-04-12
CVE-2024-3273,9.8,0.94421,0.99977,"D-Link DNS-320L, DNS-325, DNS-327L, and DNS-340L contain a command injection vulnerability. When combined with CVE-2024-3272, this can lead to remote, unauthorized code execution.",2024-04-11
CVE-2024-3272,9.8,0.94109,0.99897,"D-Link DNS-320L, DNS-325, DNS-327L, and DNS-340L contains a hard-coded credential that allows an attacker to conduct authenticated command injection, leading to remote, unauthorized code execution.",2024-04-11
CVE-2024-29748,7.8,0.00288,0.51895,Android Pixel contains a privilege escalation vulnerability that allows an attacker to interrupt a factory reset triggered by a device admin app.,2024-04-04
CVE-2024-29745,5.5,0.00065,0.20264,"Android Pixel contains an information disclosure vulnerability in the fastboot firmware used to support unlocking, flashing, and locking affected devices.",2024-04-04
CVE-2023-24955,7.2,0.92058,0.99696,Microsoft SharePoint Server contains a code injection vulnerability that allows an authenticated attacker with Site Owner privileges to execute code remotely.,2024-03-26
CVE-2019-7256,9.8,0.94406,0.99973,Nice Linear eMerge E3-Series contains an OS command injection vulnerability that allows an attacker to conduct remote code execution.,2024-03-25
CVE-2021-44529,9.8,0.94461,0.99994,Ivanti Endpoint Manager Cloud Service Appliance (EPM CSA) contains a code injection vulnerability that allows an unauthenticated user to execute malicious code with limited permissions (nobody).,2024-03-25
CVE-2023-48788,9.8,0.94228,0.99917,Fortinet FortiClient EMS contains a SQL injection vulnerability that allows an unauthenticated attacker to execute commands as SYSTEM via specifically crafted requests.,2024-03-25
CVE-2024-27198,9.8,0.94577,1.0,JetBrains TeamCity contains an authentication bypass vulnerability that allows an attacker to perform admin actions.,2024-03-07
CVE-2024-23225,7.8,0.00033,0.07512,"Apple iOS, iPadOS, macOS, tvOS, watchOS, and visionOS kernel contain a memory corruption vulnerability that allows an attacker with arbitrary kernel read and write capability to bypass kernel memory protections.",2024-03-06
CVE-2024-23296,7.8,0.00085,0.25539,"Apple iOS, iPadOS, macOS, tvOS, and watchOS RTKit contain a memory corruption vulnerability that allows an attacker with arbitrary kernel read and write capability to bypass kernel memory protections.",2024-03-06
CVE-2023-21237,5.5,0.01887,0.82405,"Android Pixel contains a vulnerability in the Framework component, where the UI may be misleading or insufficient, providing a means to hide a foreground service notification. This could enable a local attacker to disclose sensitive information.",2024-03-05
CVE-2021-36380,9.8,0.94272,0.99928,Sunhillo SureLine contains an OS command injection vulnerability that allows an attacker to cause a denial-of-service or utilize the device for persistence on the network via shell metacharacters in ipAddr or dnsAddr in /cgi/networkDiag.cgi.,2024-03-05
CVE-2024-21338,7.8,0.7904,0.99021,Microsoft Windows Kernel contains an exposed IOCTL with insufficient access control vulnerability within the IOCTL (input and output control) dispatcher in appid.sys that allows a local attacker to achieve privilege escalation.,2024-03-04
CVE-2023-29360,8.4,0.16953,0.94689,"Microsoft Streaming Service contains an untrusted pointer dereference vulnerability that allows for privilege escalation, enabling a local attacker to gain SYSTEM privileges.",2024-02-29
CVE-2024-1709,10.0,0.94356,0.99954,"ConnectWise ScreenConnect contains an authentication bypass vulnerability that allows an attacker with network access to the management interface to create a new, administrator-level account on affected devices.",2024-02-22
CVE-2020-3259,7.5,0.54329,0.97921,"Cisco Adaptive Security Appliance (ASA) and Firepower Threat Defense (FTD) contain an information disclosure vulnerability. An attacker could retrieve memory contents on an affected device, which could lead to the disclosure of confidential information due to a buffer tracking issue when the software parses invalid URLs that are requested from the web services interface. This vulnerability affects only specific AnyConnect and WebVPN configurations.",2024-02-15
CVE-2024-21410,,0.01701,0.81518,Microsoft Exchange Server contains an unspecified vulnerability that allows for privilege escalation.,2024-02-15
CVE-2024-21412,8.1,0.93777,0.99849,Microsoft Windows Internet Shortcut Files contains an unspecified vulnerability that allows for a security feature bypass.,2024-02-13
CVE-2024-21351,7.6,0.06234,0.90518,"Microsoft Windows SmartScreen contains a security feature bypass vulnerability that allows an attacker to bypass the SmartScreen user experience and inject code to potentially gain code execution, which could lead to some data exposure, lack of system availability, or both.",2024-02-13
CVE-2023-43770,6.1,0.75695,0.98855,Roundcube Webmail contains a persistent cross-site scripting (XSS) vulnerability that can lead to information disclosure via malicious link references in plain/text messages.,2024-02-12
CVE-2024-21762,9.8,0.92416,0.99722,Fortinet FortiOS contains an out-of-bound write vulnerability that allows a remote unauthenticated attacker to execute code or commands via specially crafted HTTP requests.,2024-02-09
CVE-2023-4762,8.8,0.15279,0.94335,"Google Chromium V8 contains a type confusion vulnerability that allows a remote attacker to execute code via a crafted HTML page. This vulnerability could affect multiple web browsers that utilize Chromium, including, but not limited to, Google Chrome, Microsoft Edge, and Opera.",2024-02-06
CVE-2022-48618,7.0,0.0018,0.39918,"Apple iOS, iPadOS, macOS, tvOS, and watchOS contain a time-of-check/time-of-use (TOCTOU) memory corruption vulnerability that allows an attacker with read and write capabilities to bypass Pointer Authentication.",2024-01-31
CVE-2024-21893,8.2,0.9432,0.99941,"Ivanti Connect Secure (ICS, formerly known as Pulse Connect Secure), Ivanti Policy Secure, and Ivanti Neurons contain a server-side request forgery (SSRF) vulnerability in the SAML component that allows an attacker to access certain restricted resources without authentication.",2024-01-31
CVE-2023-22527,9.8,0.94363,0.99957,Atlassian Confluence Data Center and Server contain an unauthenticated OGNL template injection vulnerability that can lead to remote code execution.,2024-01-24
CVE-2024-23222,8.8,0.00197,0.4202,"Apple iOS, iPadOS, macOS, tvOS, and Safari WebKit contain a type confusion vulnerability that leads to code execution when processing maliciously crafted web content. This vulnerability could impact HTML parsers that use WebKit, including but not limited to Apple Safari and non-Apple products which rely on WebKit for HTML processing.",2024-01-23
CVE-2023-34048,9.8,0.92558,0.99733,VMware vCenter Server contains an out-of-bounds write vulnerability in the implementation of the DCERPC protocol that allows an attacker to conduct remote code execution.,2024-01-22
CVE-2023-35082,9.8,0.9445,0.99991,Ivanti Endpoint Manager Mobile (EPMM) and MobileIron Core contain an authentication bypass vulnerability that allows unauthorized users to access restricted functionality or resources of the application.,2024-01-18
CVE-2024-0519,8.8,0.00205,0.42876,"Google Chromium V8 Engine contains an out-of-bounds memory access vulnerability that allows a remote attacker to potentially exploit heap corruption via a crafted HTML page. This vulnerability could affect multiple web browsers that utilize Chromium, including, but not limited to, Google Chrome, Microsoft Edge, and Opera.",2024-01-17
CVE-2023-6549,7.5,0.10073,0.92778,"Citrix NetScaler ADC and NetScaler Gateway contain a buffer overflow vulnerability that allows for a denial-of-service when configured as a Gateway (VPN virtual server, ICA Proxy, CVPN, RDP Proxy) or AAA virtual server.",2024-01-17
CVE-2023-6548,8.8,0.23433,0.95738,"Citrix NetScaler ADC and NetScaler Gateway contain a code injection vulnerability that allows for authenticated remote code execution on the management interface with access to NSIP, CLIP, or SNIP.",2024-01-17
CVE-2018-15133,8.1,0.82891,0.99202,"Laravel Framework contains a deserialization of untrusted data vulnerability, allowing for remote command execution. This vulnerability may only be exploited if a malicious user has accessed the application encryption key (APP_KEY environment variable).",2024-01-16
CVE-2023-29357,9.8,0.94356,0.99955,"Microsoft SharePoint Server contains an unspecified vulnerability that allows an unauthenticated attacker, who has gained access to spoofed JWT authentication tokens, to use them for executing a network attack. This attack bypasses authentication, enabling the attacker to gain administrator privileges.",2024-01-10
CVE-2023-46805,8.2,0.94398,0.99971,"Ivanti Connect Secure (ICS, formerly known as Pulse Connect Secure) and Ivanti Policy Secure gateways contain an authentication bypass vulnerability in the web component that allows an attacker to access restricted resources by bypassing control checks. This vulnerability can be leveraged in conjunction with CVE-2024-21887, a command injection vulnerability.",2024-01-10
CVE-2024-21887,9.1,0.94429,0.99981,"Ivanti Connect Secure (ICS, formerly known as Pulse Connect Secure) and Ivanti Policy Secure contain a command injection vulnerability in the web components of these products, which can allow an authenticated administrator to send crafted requests to execute code on affected appliances. This vulnerability can be leveraged in conjunction with CVE-2023-46805, an authenticated bypass issue.",2024-01-10
CVE-2023-23752,5.3,0.94532,1.0,Joomla! contains an improper access control vulnerability that allows unauthorized access to webservice endpoints.,2024-01-08
CVE-2016-20017,9.8,0.88202,0.99457,"D-Link DSL-2750B devices contain a command injection vulnerability that allows remote, unauthenticated command injection via the login.cgi cli parameter.",2024-01-08
CVE-2023-41990,7.8,0.04103,0.88165,"Apple iOS, iPadOS, macOS, tvOS, and watchOS contain an unspecified vulnerability that allows for code execution when processing a font file.",2024-01-08
CVE-2023-27524,9.8,0.80409,0.99084,Apache Superset contains an insecure default initialization of a resource vulnerability that allows an attacker to authenticate and access unauthorized resources on installations that have not altered the default configured SECRET_KEY according to installation instructions.,2024-01-08
CVE-2023-29300,9.8,0.92907,0.99761,Adobe ColdFusion contains a deserialization of untrusted data vulnerability that allows for code execution.,2024-01-08
CVE-2023-38203,,0.94264,0.99926,Adobe ColdFusion contains a deserialization of untrusted data vulnerability that allows for code execution.,2024-01-08
CVE-2023-7101,7.8,0.88063,0.99451,"Spreadsheet::ParseExcel contains a remote code execution vulnerability due to passing unvalidated input from a file into a string-type “eval”. Specifically, the issue stems from the evaluation of Number format strings within the Excel parsing logic.",2024-01-02
CVE-2023-7024,8.8,0.01348,0.79277,"Google Chromium WebRTC, an open-source project providing web browsers with real-time communication, contains a heap buffer overflow vulnerability that allows a remote attacker to potentially exploit heap corruption via a crafted HTML page. This vulnerability could impact web browsers using WebRTC, including but not limited to Google Chrome.",2024-01-02
CVE-2023-49897,8.8,0.41924,0.97321,FXC AE1021 and AE1021PE contain an OS command injection vulnerability that allows authenticated users to execute commands via a network.,2023-12-21
CVE-2023-47565,8.8,0.79949,0.99066,QNAP VioStar NVR contains an OS command injection vulnerability that allows authenticated users to execute commands via a network.,2023-12-21
CVE-2023-6448,9.8,0.10289,0.92861,"Unitronics Vision Series PLCs and HMIs ship with an insecure default password, which if left unchanged, can allow attackers to execute remote commands.",2023-12-11
CVE-2023-41266,6.5,0.94246,0.99921,"Qlik Sense contains a path traversal vulnerability that allows a remote, unauthenticated attacker to create an anonymous session by sending maliciously crafted HTTP requests. This anonymous session could allow the attacker to send further requests to unauthorized endpoints.",2023-12-07
CVE-2023-41265,9.9,0.91718,0.99671,Qlik Sense contains an HTTP tunneling vulnerability that allows an attacker to escalate privileges and execute HTTP requests on the backend server hosting the software.,2023-12-07
CVE-2023-33107,7.8,0.0007,0.21651,Multiple Qualcomm chipsets contain an integer overflow vulnerability due to memory corruption in Graphics Linux while assigning shared virtual memory region during IOCTL call.,2023-12-05
CVE-2023-33106,7.8,0.00045,0.13077,Multiple Qualcomm chipsets contain a use of out-of-range pointer offset vulnerability due to memory corruption in Graphics while submitting a large list of sync points in an AUX command to the IOCTL_KGSL_GPU_AUX_COMMAND.,2023-12-05
CVE-2023-33063,7.8,0.00227,0.45469,Multiple Qualcomm chipsets contain a use-after-free vulnerability due to memory corruption in DSP Services during a remote call from HLOS to DSP.,2023-12-05
CVE-2022-22071,7.8,0.00811,0.7325,Multiple Qualcomm chipsets contain a use-after-free vulnerability when process shell memory is freed using IOCTL munmap call and process initialization is in progress.,2023-12-05
CVE-2023-42917,8.8,0.00041,0.11341,"Apple iOS, iPadOS, macOS, and Safari WebKit contain a memory corruption vulnerability that leads to code execution when processing maliciously crafted web content. This vulnerability could impact HTML parsers that use WebKit, including but not limited to Apple Safari and non-Apple products which rely on WebKit for HTML processing.",2023-12-04
CVE-2023-42916,6.5,0.00038,0.09856,"Apple iOS, iPadOS, macOS, and Safari WebKit contain an out-of-bounds read vulnerability that may disclose sensitive information when processing maliciously crafted web content. This vulnerability could impact HTML parsers that use WebKit, including but not limited to Apple Safari and non-Apple products which rely on WebKit for HTML processing.",2023-12-04
CVE-2023-6345,9.6,0.0067,0.70372,"Google Chromium Skia contains an integer overflow vulnerability that allows a remote attacker, who has compromised the renderer process, to potentially perform a sandbox escape via a malicious file. This vulnerability affects Google Chrome and ChromeOS, Android, Flutter, and possibly other products.",2023-11-30
CVE-2023-49103,7.5,0.94341,0.99946,"ownCloud graphapi contains an information disclosure vulnerability that can reveal sensitive data stored in phpinfo() via GetPhpInfo.php, including administrative credentials.",2023-11-30
CVE-2023-4911,7.8,0.79513,0.99041,"GNU C Library's dynamic loader ld.so contains a buffer overflow vulnerability when processing the GLIBC_TUNABLES environment variable, allowing a local attacker to execute code with elevated privileges.",2023-11-21
CVE-2023-36584,5.4,0.20094,0.95261,Microsoft Windows Mark of the Web (MOTW) contains a security feature bypass vulnerability resulting in a limited loss of integrity and availability of security features.,2023-11-16
CVE-2023-1671,9.8,0.9429,0.99931,Sophos Web Appliance contains a command injection vulnerability in the warn-proceed handler that allows for remote code execution.,2023-11-16
CVE-2020-2551,9.8,0.94393,0.99968,Oracle Fusion Middleware contains an unspecified vulnerability in the WLS Core Components that allows an unauthenticated attacker with network access via IIOP to compromise the WebLogic Server.,2023-11-16
CVE-2023-36033,7.8,0.00197,0.42012,Microsoft Windows Desktop Window Manager (DWM) Core Library contains an unspecified vulnerability that allows for privilege escalation.,2023-11-14
CVE-2023-36025,8.8,0.88786,0.99489,Microsoft Windows SmartScreen contains a security feature bypass vulnerability that could allow an attacker to bypass Windows Defender SmartScreen checks and their associated prompts.,2023-11-14
CVE-2023-36036,7.8,0.00997,0.76009,Microsoft Windows Cloud Files Mini Filter Driver contains a privilege escalation vulnerability that could allow an attacker to gain SYSTEM privileges.,2023-11-14
CVE-2023-47246,9.8,0.9438,0.99963,SysAid Server (on-premises version) contains a path traversal vulnerability that leads to code execution.,2023-11-13
CVE-2023-36844,5.3,0.94297,0.99933,"Juniper Junos OS on EX Series contains a PHP external variable modification vulnerability that allows an unauthenticated, network-based attacker to control certain, important environment variables. Using a crafted request an attacker is able to modify certain PHP environment variables, leading to partial loss of integrity, which may allow chaining to other vulnerabilities.",2023-11-13
CVE-2023-36845,9.8,0.94355,0.99954,"Juniper Junos OS on EX Series and SRX Series contains a PHP external variable modification vulnerability that allows an unauthenticated, network-based attacker to control an important environment variable. Using a crafted request, which sets the variable PHPRC, an attacker is able to modify the PHP execution environment allowing the injection und execution of code.",2023-11-13
CVE-2023-36846,,0.94278,0.99929,"Juniper Junos OS on SRX Series contains a missing authentication for critical function vulnerability that allows an unauthenticated, network-based attacker to cause limited impact to the file system integrity. With a specific request to user.php that doesn't require authentication, an attacker is able to upload arbitrary files via J-Web, leading to a loss of integrity for a certain part of the file system, which may allow chaining to other vulnerabilities.",2023-11-13
CVE-2023-36847,,0.94278,0.99929,"Juniper Junos OS on EX Series contains a missing authentication for critical function vulnerability that allows an unauthenticated, network-based attacker to cause limited impact to the file system integrity. With a specific request to installAppPackage.php that doesn't require authentication, an attacker is able to upload arbitrary files via J-Web, leading to a loss of integrity for a certain part of the file system, which may allow chaining to other vulnerabilities.",2023-11-13
